Compound_id,Atc_id,relation_type,database
DB00001,B01AE02,x-atc,DRUGBANK
DB00002,L01XC06,x-atc,DRUGBANK
DB00003,R05CB13,x-atc,DRUGBANK
DB00004,L01XX29,x-atc,DRUGBANK
DB00005,L04AB01,x-atc,DRUGBANK
DB00006,B01AE06,x-atc,DRUGBANK
DB00007,L02AE51,x-atc,DRUGBANK
DB00008,L03AB11,x-atc,DRUGBANK
DB00009,B01AD02,x-atc,DRUGBANK
DB00010,V04CD03,x-atc,DRUGBANK
DB00011,L03AB06,x-atc,DRUGBANK
DB00012,B03XA02,x-atc,DRUGBANK
DB00013,B01AD04,x-atc,DRUGBANK
DB00014,L02AE03,x-atc,DRUGBANK
DB00015,B01AD07,x-atc,DRUGBANK
DB00016,B03XA01,x-atc,DRUGBANK
DB00017,H05BA01,x-atc,DRUGBANK
DB00019,L03AA13,x-atc,DRUGBANK
DB00020,L03AA09,x-atc,DRUGBANK
DB00022,L03AB10,x-atc,DRUGBANK
DB00023,L01XX02,x-atc,DRUGBANK
DB00024,H01AB01,x-atc,DRUGBANK
DB00025,B02BD02,x-atc,DRUGBANK
DB00026,L04AC03,x-atc,DRUGBANK
DB00027,R02AB30,x-atc,DRUGBANK
DB00029,B01AD03,x-atc,DRUGBANK
DB00030,A10AC01,x-atc,DRUGBANK
DB00031,B01AD11,x-atc,DRUGBANK
DB00032,G03GA02,x-atc,DRUGBANK
DB00034,L03AB04,x-atc,DRUGBANK
DB00035,H01BA02,x-atc,DRUGBANK
DB00036,B02BD08,x-atc,DRUGBANK
DB00038,L03AC02,x-atc,DRUGBANK
DB00039,V03AF08,x-atc,DRUGBANK
DB00040,H04AA01,x-atc,DRUGBANK
DB00041,L03AC01,x-atc,DRUGBANK
DB00042,M03AX01,x-atc,DRUGBANK
DB00043,R03DX05,x-atc,DRUGBANK
DB00044,G03GA07,x-atc,DRUGBANK
DB00046,A10AC04,x-atc,DRUGBANK
DB00047,A10AE54,x-atc,DRUGBANK
DB00048,D03BA02,x-atc,DRUGBANK
DB00049,V03AF07,x-atc,DRUGBANK
DB00050,H01CC02,x-atc,DRUGBANK
DB00051,L04AB04,x-atc,DRUGBANK
DB00052,H01AC01,x-atc,DRUGBANK
DB00053,A16AB02,x-atc,DRUGBANK
DB00054,B01AC13,x-atc,DRUGBANK
DB00055,B01AD10,x-atc,DRUGBANK
DB00056,L01XC05,x-atc,DRUGBANK
DB00057,V09IB02,x-atc,DRUGBANK
DB00058,B02AB02,x-atc,DRUGBANK
DB00059,L01XX24,x-atc,DRUGBANK
DB00060,L03AB07,x-atc,DRUGBANK
DB00061,L03AX04,x-atc,DRUGBANK
DB00063,B01AC16,x-atc,DRUGBANK
DB00065,L04AB02,x-atc,DRUGBANK
DB00066,G03GA10,x-atc,DRUGBANK
DB00068,L03AB08,x-atc,DRUGBANK
DB00069,L03AB09,x-atc,DRUGBANK
DB00071,A10AC03,x-atc,DRUGBANK
DB00072,L01XC03,x-atc,DRUGBANK
DB00073,L01XC02,x-atc,DRUGBANK
DB00074,L04AC02,x-atc,DRUGBANK
DB00075,L04AA02,x-atc,DRUGBANK
DB00076,V03AB24,x-atc,DRUGBANK
DB00078,V10XX02,x-atc,DRUGBANK
DB00080,J01XX09,x-atc,DRUGBANK
DB00081,V10XA53,x-atc,DRUGBANK
DB00082,H01AX01,x-atc,DRUGBANK
DB00083,M03AX01,x-atc,DRUGBANK
DB00085,A09AA02,x-atc,DRUGBANK
DB00086,B01AD01,x-atc,DRUGBANK
DB00087,L04AA34,x-atc,DRUGBANK
DB00088,A16AB01,x-atc,DRUGBANK
DB00089,V09IB04,x-atc,DRUGBANK
DB00090,A16AB05,x-atc,DRUGBANK
DB00091,L04AD01,x-atc,DRUGBANK
DB00092,L04AA15,x-atc,DRUGBANK
DB00094,G03GA04,x-atc,DRUGBANK
DB00095,L04AA21,x-atc,DRUGBANK
DB00097,G03GA08,x-atc,DRUGBANK
DB00098,L04AA04,x-atc,DRUGBANK
DB00099,L03AA02,x-atc,DRUGBANK
DB00102,D03AX06,x-atc,DRUGBANK
DB00103,A16AB03,x-atc,DRUGBANK
DB00104,H01CB02,x-atc,DRUGBANK
DB00105,L03AB05,x-atc,DRUGBANK
DB00106,L02BX01,x-atc,DRUGBANK
DB00107,G02AC01,x-atc,DRUGBANK
DB00108,L04AA23,x-atc,DRUGBANK
DB00109,J05AX07,x-atc,DRUGBANK
DB00110,J06BB16,x-atc,DRUGBANK
DB00111,L04AC01,x-atc,DRUGBANK
DB00112,L01XC07,x-atc,DRUGBANK
DB00113,V09IA06,x-atc,DRUGBANK
DB00114,A11HA06,x-atc,DRUGBANK
DB00115,B03BA01,x-atc,DRUGBANK
DB00118,A16AA02,x-atc,DRUGBANK
DB00121,A11HA05,x-atc,DRUGBANK
DB00123,B05XB03,x-atc,DRUGBANK
DB00125,B05XB01,x-atc,DRUGBANK
DB00126,G01AD03,x-atc,DRUGBANK
DB00129,A05BA06,x-atc,DRUGBANK
DB00130,A16AA03,x-atc,DRUGBANK
DB00134,V03AB26,x-atc,DRUGBANK
DB00136,D05AX03,x-atc,DRUGBANK
DB00140,A11HA04,x-atc,DRUGBANK
DB00142,A09AB01,x-atc,DRUGBANK
DB00143,V03AB32,x-atc,DRUGBANK
DB00145,B05CX03,x-atc,DRUGBANK
DB00146,A11CC06,x-atc,DRUGBANK
DB00150,N06AX02,x-atc,DRUGBANK
DB00152,A11DA01,x-atc,DRUGBANK
DB00153,A11CC01,x-atc,DRUGBANK
DB00158,B03AE02,x-atc,DRUGBANK
DB00162,V04CB01,x-atc,DRUGBANK
DB00165,J04AM08,x-atc,DRUGBANK
DB00166,A16AX01,x-atc,DRUGBANK
DB00169,M05BB09,x-atc,DRUGBANK
DB00170,B02BA02,x-atc,DRUGBANK
DB00175,C10AA03,x-atc,DRUGBANK
DB00176,N06AB08,x-atc,DRUGBANK
DB00177,C09DX05,x-atc,DRUGBANK
DB00178,C09BX03,x-atc,DRUGBANK
DB00179,L01XX10,x-atc,DRUGBANK
DB00180,R01AD04,x-atc,DRUGBANK
DB00181,M03BX01,x-atc,DRUGBANK
