Compound_id,Disease_id,relation_type,database
DB00997,DOID:363,CtD,Hetionet
DB00206,DOID:10763,CtD,Hetionet
DB00960,DOID:10763,CtD,Hetionet
DB00665,DOID:10283,CtD,Hetionet
DB00290,DOID:2998,CtD,Hetionet
DB01232,DOID:635,CtD,Hetionet
DB00555,DOID:1826,CtD,Hetionet
DB00444,DOID:2531,CtD,Hetionet
DB00860,DOID:4481,CtD,Hetionet
DB00635,DOID:2531,CtD,Hetionet
DB00985,DOID:4481,CtD,Hetionet
DB00808,DOID:10763,CtD,Hetionet
DB01244,DOID:10763,CtD,Hetionet
DB00888,DOID:2531,CtD,Hetionet
DB00591,DOID:3310,CtD,Hetionet
DB00530,DOID:1324,CtD,Hetionet
DB00191,DOID:9970,CtD,Hetionet
DB00620,DOID:8577,CtD,Hetionet
DB00853,DOID:3070,CtD,Hetionet
DB00654,DOID:1686,CtD,Hetionet
DB00783,DOID:10283,CtD,Hetionet
DB08881,DOID:4159,CtD,Hetionet
DB00563,DOID:9074,CtD,Hetionet
DB00741,DOID:4481,CtD,Hetionet
DB00773,DOID:1192,CtD,Hetionet
DB00993,DOID:418,CtD,Hetionet
DB01275,DOID:10763,CtD,Hetionet
DB01101,DOID:10534,CtD,Hetionet
DB00401,DOID:10763,CtD,Hetionet
DB00563,DOID:1324,CtD,Hetionet
DB00222,DOID:9352,CtD,Hetionet
DB00290,DOID:1909,CtD,Hetionet
DB01280,DOID:2531,CtD,Hetionet
DB00455,DOID:3310,CtD,Hetionet
DB00860,DOID:3083,CtD,Hetionet
DB00244,DOID:8577,CtD,Hetionet
DB00250,DOID:12365,CtD,Hetionet
DB01023,DOID:10763,CtD,Hetionet
DB01047,DOID:3310,CtD,Hetionet
DB00635,DOID:2841,CtD,Hetionet
DB00541,DOID:2531,CtD,Hetionet
DB00443,DOID:2531,CtD,Hetionet
DB01234,DOID:9008,CtD,Hetionet
DB00688,DOID:418,CtD,Hetionet
DB00491,DOID:9352,CtD,Hetionet
DB00570,DOID:2998,CtD,Hetionet
DB00441,DOID:1793,CtD,Hetionet
DB00661,DOID:6364,CtD,Hetionet
DB00205,DOID:12365,CtD,Hetionet
DB00959,DOID:7147,CtD,Hetionet
DB00544,DOID:10534,CtD,Hetionet
DB01068,DOID:1826,CtD,Hetionet
DB01101,DOID:263,CtD,Hetionet
DB00488,DOID:2394,CtD,Hetionet
DB00970,DOID:263,CtD,Hetionet
DB00177,DOID:3393,CtD,Hetionet
DB00997,DOID:184,CtD,Hetionet
DB00215,DOID:0050741,CtD,Hetionet
DB01394,DOID:13189,CtD,Hetionet
DB01320,DOID:1826,CtD,Hetionet
DB01181,DOID:2531,CtD,Hetionet
DB01057,DOID:1686,CtD,Hetionet
DB00338,DOID:9206,CtD,Hetionet
DB00993,DOID:8577,CtD,Hetionet
DB00501,DOID:9970,CtD,Hetionet
DB00563,DOID:2377,CtD,Hetionet
DB00860,DOID:2531,CtD,Hetionet
DB00795,DOID:8577,CtD,Hetionet
DB01075,DOID:4481,CtD,Hetionet
DB00261,DOID:2531,CtD,Hetionet
DB00091,DOID:9074,CtD,Hetionet
DB00763,DOID:12361,CtD,Hetionet
DB01098,DOID:3393,CtD,Hetionet
DB01197,DOID:418,CtD,Hetionet
DB00970,DOID:4045,CtD,Hetionet
DB00399,DOID:11476,CtD,Hetionet
DB01029,DOID:10763,CtD,Hetionet
DB00631,DOID:2531,CtD,Hetionet
DB00521,DOID:1686,CtD,Hetionet
DB01170,DOID:10763,CtD,Hetionet
DB00291,DOID:1612,CtD,Hetionet
DB00642,DOID:1324,CtD,Hetionet
DB00641,DOID:3393,CtD,Hetionet
DB00178,DOID:9744,CtD,Hetionet
DB00169,DOID:11476,CtD,Hetionet
DB01204,DOID:1612,CtD,Hetionet
DB01045,DOID:1024,CtD,Hetionet
DB01101,DOID:1612,CtD,Hetionet
DB00544,DOID:219,CtD,Hetionet
DB00635,DOID:10283,CtD,Hetionet
DB00563,DOID:1612,CtD,Hetionet
DB01204,DOID:2377,CtD,Hetionet
DB01202,DOID:1826,CtD,Hetionet
DB08877,DOID:2531,CtD,Hetionet
DB01120,DOID:9352,CtD,Hetionet
