Disease_id,Anatomy_id,relation_type,database
MESH:D015209,UBERON:0002110,DlA,Hetionet
MESH:D024821,UBERON:0001980,DlA,Hetionet
MESH:D006258,UBERON:0001760,DlA,Hetionet
MESH:D018204,UBERON:0002360,DlA,Hetionet
MESH:D008180,UBERON:0002389,DlA,Hetionet
MESH:D000163,UBERON:0000178,DlA,Hetionet
MESH:D008881,UBERON:0000955,DlA,Hetionet
MESH:D008175,UBERON:0000977,DlA,Hetionet
MESH:D002532,UBERON:0002286,DlA,Hetionet
MESH:D004938,UBERON:0002040,DlA,Hetionet
MESH:D008579,UBERON:0001646,DlA,Hetionet
MESH:D010001,UBERON:0001679,DlA,Hetionet
MESH:D002583,UBERON:0000997,DlA,Hetionet
MESH:D012559,UBERON:0001893,DlA,Hetionet
MESH:D003924,UBERON:0002103,DlA,Hetionet
MESH:D001859,UBERON:0000026,DlA,Hetionet
MESH:D009373,UBERON:0001003,DlA,Hetionet
MESH:D002532,UBERON:0001532,DlA,Hetionet
MESH:D001859,UBERON:0004452,DlA,Hetionet
MESH:D065631,UBERON:0002410,DlA,Hetionet
MESH:D006258,UBERON:0001649,DlA,Hetionet
MESH:D013736,UBERON:0001072,DlA,Hetionet
MESH:D001063,UBERON:0000992,DlA,Hetionet
MESH:D014625,UBERON:0000949,DlA,Hetionet
MESH:D009373,UBERON:0001579,DlA,Hetionet
MESH:D008288,UBERON:0000178,DlA,Hetionet
MESH:D009373,UBERON:0002439,DlA,Hetionet
MESH:D004827,UBERON:0002606,DlA,Hetionet
MESH:D050197,UBERON:0002066,DlA,Hetionet
MESH:D009373,UBERON:0003889,DlA,Hetionet
MESH:D008479,UBERON:0001533,DlA,Hetionet
MESH:D001063,UBERON:0002368,DlA,Hetionet
MESH:D005901,UBERON:0000941,DlA,Hetionet
MESH:D009080,UBERON:0001530,DlA,Hetionet
MESH:D010001,UBERON:0001132,DlA,Hetionet
MESH:D017544,UBERON:0001516,DlA,Hetionet
MESH:D003876,UBERON:0001690,DlA,Hetionet
MESH:D009103,UBERON:0002673,DlA,Hetionet
MESH:D005901,UBERON:0001771,DlA,Hetionet
MESH:D009103,UBERON:0002944,DlA,Hetionet
MESH:D008180,UBERON:0001017,DlA,Hetionet
MESH:D005910,UBERON:0002285,DlA,Hetionet
MESH:D001859,UBERON:0002205,DlA,Hetionet
MESH:D008881,UBERON:0002519,DlA,Hetionet
MESH:D001859,UBERON:0001352,DlA,Hetionet
MESH:D016535,UBERON:0002365,DlA,Hetionet
MESH:D010003,UBERON:0001463,DlA,Hetionet
MESH:D003731,UBERON:0001831,DlA,Hetionet
MESH:D010003,UBERON:0001469,DlA,Hetionet
MESH:D015179,UBERON:0002110,DlA,Hetionet
MESH:D001650,UBERON:0000211,DlA,Hetionet
MESH:D008881,UBERON:0001771,DlA,Hetionet
MESH:D007889,UBERON:0001300,DlA,Hetionet
MESH:D019337,UBERON:0002371,DlA,Hetionet
MESH:D007918,UBERON:0001463,DlA,Hetionet
MESH:D019042,UBERON:0002377,DlA,Hetionet
MESH:D009373,UBERON:0000974,DlA,Hetionet
MESH:D010300,UBERON:0001890,DlA,Hetionet
MESH:D065631,UBERON:0001724,DlA,Hetionet
MESH:D000740,UBERON:0001744,DlA,Hetionet
MESH:D055113,UBERON:0001597,DlA,Hetionet
MESH:D012878,UBERON:0000026,DlA,Hetionet
MESH:D010610,UBERON:0001736,DlA,Hetionet
MESH:D024821,UBERON:0001013,DlA,Hetionet
MESH:D017545,UBERON:0002523,DlA,Hetionet
MESH:D006258,UBERON:0002453,DlA,Hetionet
MESH:D010412,UBERON:0002097,DlA,Hetionet
MESH:D009103,UBERON:0001905,DlA,Hetionet
MESH:D011085,UBERON:0001235,DlA,Hetionet
MESH:D010300,UBERON:0001908,DlA,Hetionet
MESH:D011471,UBERON:0002371,DlA,Hetionet
MESH:D010300,UBERON:0002439,DlA,Hetionet
MESH:D001714,UBERON:0001088,DlA,Hetionet
MESH:D018204,UBERON:0001140,DlA,Hetionet
DOID:1725,UBERON:0001103,DlA,Hetionet
MESH:D006258,UBERON:0001723,DlA,Hetionet
MESH:D008545,UBERON:0002387,DlA,Hetionet
MESH:D007822,UBERON:0003126,DlA,Hetionet
MESH:D008881,UBERON:0001643,DlA,Hetionet
MESH:D003093,UBERON:0001365,DlA,Hetionet
MESH:D012878,UBERON:0001567,DlA,Hetionet
MESH:D010412,UBERON:0002356,DlA,Hetionet
MESH:C562840,UBERON:0003889,DlA,Hetionet
MESH:D016584,UBERON:0001633,DlA,Hetionet
MESH:D008545,UBERON:0001773,DlA,Hetionet
MESH:D003924,UBERON:0001021,DlA,Hetionet
MESH:D018204,UBERON:0001710,DlA,Hetionet
MESH:D001932,UBERON:0001650,DlA,Hetionet
MESH:D001063,UBERON:0001361,DlA,Hetionet
MESH:D014625,UBERON:0002382,DlA,Hetionet
MESH:D002446,UBERON:0002107,DlA,Hetionet
MESH:D009373,UBERON:0002453,DlA,Hetionet
MESH:D000544,UBERON:0002148,DlA,Hetionet
MESH:D009373,UBERON:0001981,DlA,Hetionet
MESH:D018317,UBERON:0001597,DlA,Hetionet
