Disease_id,Symptom_id,relation_type,database
MESH:D017544,D007383,DpS,Hetionet
MESH:D009373,D021501,DpS,Hetionet
MESH:D001172,D010146,DpS,Hetionet
MESH:D001932,D013064,DpS,Hetionet
MESH:D008175,D003248,DpS,Hetionet
MESH:C562840,D059373,DpS,Hetionet
MESH:D018317,D009437,DpS,Hetionet
MESH:D007580,D006396,DpS,Hetionet
MESH:D009373,D004433,DpS,Hetionet
MESH:D008479,D006732,DpS,Hetionet
MESH:D003866,D053608,DpS,Hetionet
MESH:D007918,D012877,DpS,Hetionet
MESH:D007822,D004417,DpS,Hetionet
MESH:D001932,D000381,DpS,Hetionet
MESH:D012559,D011596,DpS,Hetionet
MESH:D013274,D006356,DpS,Hetionet
MESH:D009103,D006816,DpS,Hetionet
MESH:D010610,D003639,DpS,Hetionet
MESH:D051436,D054058,DpS,Hetionet
MESH:D012559,D000377,DpS,Hetionet
MESH:D012468,D005158,DpS,Hetionet
MESH:D007680,D010148,DpS,Hetionet
MESH:D007918,D009133,DpS,Hetionet
MESH:D001528,D001750,DpS,Hetionet
MESH:D004827,D003655,DpS,Hetionet
MESH:D003866,D012893,DpS,Hetionet
MESH:D018204,D010264,DpS,Hetionet
MESH:D008180,D011693,DpS,Hetionet
MESH:D008479,D006469,DpS,Hetionet
MESH:D018204,D004417,DpS,Hetionet
MESH:D005879,D012021,DpS,Hetionet
MESH:D009373,D002637,DpS,Hetionet
MESH:D055113,D009058,DpS,Hetionet
MESH:D017202,D020181,DpS,Hetionet
MESH:D010195,D014839,DpS,Hetionet
MESH:D009103,D005132,DpS,Hetionet
MESH:D012004,D005334,DpS,Hetionet
MESH:D014029,D006930,DpS,Hetionet
MESH:D001650,D003085,DpS,Hetionet
MESH:D008545,D009325,DpS,Hetionet
MESH:D002311,D006319,DpS,Hetionet
MESH:D003866,D002389,DpS,Hetionet
MESH:D010610,D006314,DpS,Hetionet
MESH:D000544,D000849,DpS,Hetionet
MESH:D013274,D056865,DpS,Hetionet
MESH:D008175,D007040,DpS,Hetionet
DOID:1725,D003085,DpS,Hetionet
MESH:D001528,D014786,DpS,Hetionet
MESH:D016584,D000472,DpS,Hetionet
MESH:D001172,D009133,DpS,Hetionet
MESH:D008268,D005130,DpS,Hetionet
MESH:D017545,D015746,DpS,Hetionet
MESH:D009373,D001259,DpS,Hetionet
MESH:D000506,D011538,DpS,Hetionet
MESH:D007680,D000006,DpS,Hetionet
MESH:D017544,D002303,DpS,Hetionet
MESH:D004827,D004421,DpS,Hetionet
MESH:D045743,D004417,DpS,Hetionet
MESH:D018317,D015875,DpS,Hetionet
MESH:D016535,D006985,DpS,Hetionet
MESH:D000163,D000006,DpS,Hetionet
MESH:D013736,D005262,DpS,Hetionet
MESH:D007918,D005334,DpS,Hetionet
MESH:D008175,D009461,DpS,Hetionet
MESH:D065631,D012135,DpS,Hetionet
MESH:D019694,D011696,DpS,Hetionet
MESH:D000544,D007706,DpS,Hetionet
MESH:D007079,D015746,DpS,Hetionet
MESH:D008881,D006212,DpS,Hetionet
MESH:D003866,D019954,DpS,Hetionet
MESH:D017544,D010149,DpS,Hetionet
MESH:D019955,D011595,DpS,Hetionet
MESH:D008288,D002524,DpS,Hetionet
MESH:D053040,D053584,DpS,Hetionet
MESH:D009290,D009290,DpS,Hetionet
MESH:D029424,D006985,DpS,Hetionet
MESH:D018204,D010146,DpS,Hetionet
MESH:D008545,D005221,DpS,Hetionet
MESH:D002532,D012607,DpS,Hetionet
MESH:D002311,D002639,DpS,Hetionet
MESH:D001859,D014786,DpS,Hetionet
MESH:D051436,D000787,DpS,Hetionet
MESH:D045743,D005132,DpS,Hetionet
MESH:D001172,D005334,DpS,Hetionet
MESH:D006258,D046089,DpS,Hetionet
MESH:D009373,D001072,DpS,Hetionet
MESH:D008579,D006987,DpS,Hetionet
MESH:D001859,D018908,DpS,Hetionet
MESH:D013274,D006606,DpS,Hetionet
MESH:D004938,D014840,DpS,Hetionet
MESH:D010190,D000860,DpS,Hetionet
MESH:D002446,D016553,DpS,Hetionet
MESH:D008479,D009207,DpS,Hetionet
MESH:D010001,D003128,DpS,Hetionet
MESH:D007079,D003967,DpS,Hetionet
MESH:D001932,D010291,DpS,Hetionet
MESH:D010195,D013746,DpS,Hetionet
MESH:D051436,D001926,DpS,Hetionet
MESH:D001714,D012892,DpS,Hetionet
MESH:D005910,D010292,DpS,Hetionet
MESH:D006973,D000787,DpS,Hetionet
MESH:D001321,D002389,DpS,Hetionet
MESH:D002446,D002524,DpS,Hetionet
MESH:D003866,D005926,DpS,Hetionet
MESH:D002532,D003128,DpS,Hetionet
MESH:D009373,D005862,DpS,Hetionet
MESH:D015209,D007565,DpS,Hetionet
MESH:D003093,D011693,DpS,Hetionet
MESH:D001321,D020238,DpS,Hetionet
MESH:D008105,D005222,DpS,Hetionet
MESH:D001528,D012166,DpS,Hetionet
MESH:D002971,D004314,DpS,Hetionet
MESH:D001749,D053202,DpS,Hetionet
MESH:D018204,D006930,DpS,Hetionet
MESH:D015210,D010146,DpS,Hetionet
MESH:D014846,D017699,DpS,Hetionet
MESH:D007562,D020234,DpS,Hetionet
MESH:D001749,D011782,DpS,Hetionet
MESH:D001714,D014202,DpS,Hetionet
MESH:D001932,D000849,DpS,Hetionet
MESH:D045743,D018589,DpS,Hetionet
MESH:D013736,D006396,DpS,Hetionet
MESH:D007680,D008607,DpS,Hetionet
MESH:D007079,D005335,DpS,Hetionet
MESH:D008881,D014839,DpS,Hetionet
MESH:D002971,D009058,DpS,Hetionet
MESH:D019694,D008607,DpS,Hetionet
MESH:D000544,D004314,DpS,Hetionet
MESH:D015179,D005414,DpS,Hetionet
MESH:D004827,D019575,DpS,Hetionet
MESH:D001289,D017109,DpS,Hetionet
MESH:D008545,D014008,DpS,Hetionet
MESH:D007889,D003248,DpS,Hetionet
MESH:D010003,D010149,DpS,Hetionet
MESH:D009290,D012891,DpS,Hetionet
MESH:D004938,D005483,DpS,Hetionet
MESH:D005706,D003085,DpS,Hetionet
MESH:D065631,D011602,DpS,Hetionet
MESH:D005910,D012640,DpS,Hetionet
MESH:D000690,D014826,DpS,Hetionet
MESH:D008113,D004438,DpS,Hetionet
MESH:D008180,D001750,DpS,Hetionet
MESH:D005910,D014717,DpS,Hetionet
MESH:D012004,D005414,DpS,Hetionet
MESH:D012004,D003967,DpS,Hetionet
MESH:D007889,D003085,DpS,Hetionet
MESH:D009103,D009122,DpS,Hetionet
MESH:D006111,D006942,DpS,Hetionet
MESH:D006973,D050177,DpS,Hetionet
MESH:D018317,D006261,DpS,Hetionet
MESH:D010300,D013494,DpS,Hetionet
MESH:D002971,D006472,DpS,Hetionet
MESH:D013964,D014832,DpS,Hetionet
MESH:D010040,D004244,DpS,Hetionet
MESH:D014820,D006311,DpS,Hetionet
MESH:D011471,D059411,DpS,Hetionet
MESH:D001172,D011782,DpS,Hetionet
MESH:D051436,D011537,DpS,Hetionet
MESH:D050197,D050177,DpS,Hetionet
MESH:D016535,D006685,DpS,Hetionet
MESH:D009373,D010291,DpS,Hetionet
MESH:D009290,D017593,DpS,Hetionet
MESH:D000544,D000381,DpS,Hetionet
MESH:D001528,D018908,DpS,Hetionet
DOID:90,D012585,DpS,Hetionet
MESH:D010040,D006312,DpS,Hetionet
MESH:D029424,D006935,DpS,Hetionet
MESH:D006258,D019547,DpS,Hetionet
MESH:D012559,D007806,DpS,Hetionet
MESH:D010040,D011304,DpS,Hetionet
MESH:D007918,D005158,DpS,Hetionet
MESH:D005910,D010243,DpS,Hetionet
MESH:D001172,D013651,DpS,Hetionet
MESH:D029424,D007040,DpS,Hetionet
MESH:D009373,D013575,DpS,Hetionet
MESH:D002532,D014474,DpS,Hetionet
MESH:D012559,D002375,DpS,Hetionet
MESH:D007562,D006212,DpS,Hetionet
MESH:D002532,D003221,DpS,Hetionet
MESH:D001932,D006606,DpS,Hetionet
MESH:D007562,D034062,DpS,Hetionet
MESH:D012030,D003638,DpS,Hetionet
MESH:D010051,D004487,DpS,Hetionet
MESH:C562839,D003128,DpS,Hetionet
MESH:D019337,D014839,DpS,Hetionet
MESH:D009103,D009222,DpS,Hetionet
MESH:D007037,D005221,DpS,Hetionet
MESH:D008545,D003967,DpS,Hetionet
MESH:D003866,D006963,DpS,Hetionet
MESH:D010003,D059226,DpS,Hetionet
MESH:D008479,D004417,DpS,Hetionet
MESH:D005910,D002524,DpS,Hetionet
MESH:D005910,D010291,DpS,Hetionet
MESH:D000310,D005334,DpS,Hetionet
MESH:D010300,D053158,DpS,Hetionet
MESH:D009103,D004244,DpS,Hetionet
MESH:D000544,D008569,DpS,Hetionet
MESH:D005922,D016553,DpS,Hetionet
MESH:D009373,D006315,DpS,Hetionet
MESH:D000163,D011696,DpS,Hetionet
MESH:D016535,D001049,DpS,Hetionet
MESH:D005901,D015877,DpS,Hetionet
MESH:D014594,D000860,DpS,Hetionet
MESH:D010300,D009325,DpS,Hetionet
MESH:D016584,D009041,DpS,Hetionet
MESH:D004827,D038901,DpS,Hetionet
MESH:D006111,D011782,DpS,Hetionet
MESH:D007037,D002524,DpS,Hetionet
MESH:D010300,D003693,DpS,Hetionet
MESH:D001650,D041781,DpS,Hetionet
MESH:D001321,D001072,DpS,Hetionet
MESH:D005134,D000550,DpS,Hetionet
MESH:D051436,D009133,DpS,Hetionet
MESH:D001932,D004614,DpS,Hetionet
MESH:D001932,D034381,DpS,Hetionet
MESH:D013274,D011696,DpS,Hetionet
MESH:D008881,D009903,DpS,Hetionet
MESH:D000506,D006311,DpS,Hetionet
MESH:D009373,D014012,DpS,Hetionet
MESH:C562839,D009325,DpS,Hetionet
MESH:D004827,D003128,DpS,Hetionet
MESH:D011565,D011538,DpS,Hetionet
MESH:D009383,D007383,DpS,Hetionet
MESH:D009103,D006423,DpS,Hetionet
MESH:D004938,D003371,DpS,Hetionet
MESH:D014594,D014549,DpS,Hetionet
MESH:D001932,D002819,DpS,Hetionet
MESH:D002532,D014012,DpS,Hetionet
MESH:D009103,D004401,DpS,Hetionet
MESH:D011085,D002032,DpS,Hetionet
MESH:D010003,D012585,DpS,Hetionet
MESH:D009765,D006963,DpS,Hetionet
MESH:D000690,D020336,DpS,Hetionet
MESH:D009765,D009765,DpS,Hetionet
MESH:D005901,D058447,DpS,Hetionet
MESH:D009373,D015160,DpS,Hetionet
MESH:D050197,D000860,DpS,Hetionet
MESH:D029424,D002100,DpS,Hetionet
MESH:D008545,D009755,DpS,Hetionet
MESH:D008545,D004172,DpS,Hetionet
MESH:D003093,D003635,DpS,Hetionet
MESH:D001321,D000377,DpS,Hetionet
MESH:D003924,D005483,DpS,Hetionet
MESH:D012030,D001766,DpS,Hetionet
MESH:D010195,D004487,DpS,Hetionet
